Sponsor,Study Title,Medicine or Vaccine (generic name),Sponsor Identification Number,Trial Registry Identification Number(s),Medical Condition,Phase,Link to Sponsor Study Registry,Link to study details on ClinicalTrials.gov (if available),Link to study details on EudraCT (if available),Analysis-ready dataset,Annotated case report form,Clinical study report,Dataset specifications,Protocol with any amendments,Raw dataset,Reporting and analysis plan,Additional Information about the data and documents available for this study,Date Added to this Site
GSK,A multicentre study to evaluate the safety and immunogenicity of GSK Biologicals’ HPV vaccine (GSK1674330A) in healthy female subjects aged 18–25 years.,Human Papillomavirus Types 16 and 18 Vaccine,109836,NCT00478621,"Infections, Papillomavirus",Phase 1,http://www.gsk-clinicalstudyregister.com/study/109836,http://clinicaltrials.gov/show/NCT00478621,,Y,N,Y,Y,Y,Y,Y,An annotated case report form is not available for this study. A blank case report form will be provided.,1-Mar-2014
GSK,Study of the efficacy of candidate HPV 16/18 VLP vaccine in the prevention of HPV-16 and/or HPV-18 cervical infection in adolescent & young adult women in North America and Brazil vaccinated in primary study 580299/001,Human Papillomavirus Types 16 and 18 Vaccine,580299/007,NCT00120848,"Infections, Papillomavirus",Phase 2,http://www.gsk-clinicalstudyregister.com/study/580299/007,http://clinicaltrials.gov/show/NCT00120848,,Y,Y,Y,Y,Y,Y,Y,This is a follow-up study to 580299/001.,1-Mar-2014
GSK,"A phase III, double-blind, randomized, controlled, multi-center study to evaluate the efficacy of GlaxoSmithKline Biologicals. HPV-16/18 VLP AS04 vaccine compared to hepatitis A vaccine as control in prevention of persistent HPV-16 or HPV-18 cervical infection and cervical neoplasia, administered intramuscularly according to a 0, 1, 6 month schedule in healthy females 15-25 years of age.",Human Papillomavirus Types 16 and 18 Vaccine,580299/008,NCT00122681,"Infections, Papillomavirus",Phase 3,http://www.gsk-clinicalstudyregister.com/study/580299/008,http://clinicaltrials.gov/show/NCT00122681,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
GSK,"Immunogenicity: 3 consecutive lots of GSK Biologicals’ HPV-16/18 vaccine administered intramuscularly at 0,1,6 month schedule in healthy females aged 10–25 years and demonstrate non-inferiority of candidate HPV vaccine manufactured by modified production process",Human Papillomavirus Types 16 and 18 Vaccine,580299/012,NCT00169494,"Infections, Papillomavirus",Phase 3,http://www.gsk-clinicalstudyregister.com/study/580299/012,http://clinicaltrials.gov/show/NCT00169494,,Y,Y,Y,Y,Y,Y,Y,"The results of this study 580299/012 are summarised with studies 107476 (M18), 107477 (M24), and 107479 (M36) on the GSK Clinical Study Register.",1-Mar-2014
GSK,"Evaluate the safety and immunogenicity of GSK Biologicals’ HPV-16/18 vaccine administered intramuscularly according to a 0,1,6 month schedule in healthy female subjects (10 – 14 years)",Human Papillomavirus Types 16 and 18 Vaccine,580299/013,NCT00196924,"Infections, Papillomavirus",Phase 3,http://www.gsk-clinicalstudyregister.com/study/580299/013,http://clinicaltrials.gov/show/NCT00196924,,Y,Y,Y,Y,Y,Y,Y,"The results of this study 580299/013 are summarised with studies 104896 (M18), 104902 (M24),  104904 (M36) and 104918 (M48) on the GSK Clinical Study Register.",1-Mar-2014
GSK,"An open, phase IV study on the immunogenicity and tolerability of Influsplit SSW® 2005/2006 in children aged 6 – 13 years","Influenza Vaccine (Split Virion, Inactivated)",106252,NCT00372255,Influenza,Phase 4,http://www.gsk-clinicalstudyregister.com/study/106252,http://clinicaltrials.gov/show/NCT00372255,,Y,Y,Y,Y,Y,Y,N,A reporting and analysis plan is not available for this study.,1-Mar-2015
GSK,Phase III study to determine immunogenicity and reactogenicity of investigational influenza vaccine formulation I compared to the standard influenza vaccine of GSK Biologicals’ Influsplit SSW®/Fluarix™2003/2004 and compared to an investigational influenza vaccine formulation II in subjects aged over 18 years,"Influenza Vaccine (Split Virion, Inactivated)",100349-054,,Influenza,Phase 3,http://www.gsk-clinicalstudyregister.com/study/100349-054,,,Y,N,Y,Y,Y,Y,N,An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,A phase III double-blind randomized multicentric study to determine the reactogenicity of an investigational influenza vaccine compared to the standard influenza vaccine of GlaxoSmithKline Biologicals’ Influsplit SSW®/ Fluarix™ 2003/2004 in subjects aged over 18 years.,"Influenza Vaccine (Split Virion, Inactivated)",100350-055,,Influenza,Phase 3,http://www.gsk-clinicalstudyregister.com/study/100350-055,,,Y,N,Y,Y,Y,Y,N,An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,To determine the immunogenicity and reactogenicity of a thiomersal free trivalent influenza split vaccine 2003/2004 or of GSK Biologicals’ standard formulation Influsplit SSW®/Fluarix™ 2003/2004 in children aged from 6 months until 6 years,"Influenza Vaccine (Split Virion, Inactivated)",100351,NCT00731393,Influenza,Phase 3,http://www.gsk-clinicalstudyregister.com/study/100351,http://clinicaltrials.gov/show/NCT00731393,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2015
GSK,Open immunization study to determine the reactogenicity and immunogenicity of Fluarix™/Influsplit SSW® 2004/2005 in persons as of 18 years of age.,"Influenza Vaccine (Split Virion, Inactivated)",102151 (Flu-058),,Influenza,Phase 3,http://www.gsk-clinicalstudyregister.com/study/102151,,,Y,N,Y,Y,Y,Y,Y,An annotated case report form is not available for this study. A blank case report form will be provided. A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2015
GSK,"A phase III, open, randomized, multicenter, comparative vaccination study to evaluate the immunogenicity and reactogenicity of various formulations of a monovalent candidate pandemic influenza A vaccine in individuals over 60 years of age","Influenza Vaccine (Split Virion, Inactivated)",102499,NCT00306995,Influenza,Phase 2,http://www.gsk-clinicalstudyregister.com/study/102499,http://clinicaltrials.gov/show/NCT00306995,,Y,N,Y,Y,Y,Y,N,An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study. There is no GSK Clinical Study Register Results Summary record for this study.,1-Aug-2015
GSK,"A phase III, observer-blind, randomized study to evaluate the immunogenicity and safety of Fluarix™ (GlaxoSmithKline Biologicals) compared with Fluzone® (Aventis Pasteur) administered intramuscularly in adults 18 years and older in the U.S.","Influenza Vaccine (Split Virion, Inactivated)",104437,NCT00197288,Influenza,Phase 3,http://www.gsk-clinicalstudyregister.com/study/104437,http://clinicaltrials.gov/show/NCT00197288,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
GSK,"A randomized, double-blind, placebo-controlled, post-marketing phase III Study to evaluate the efficacy of GSK Biologicals’ influenza vaccine (Fluarix™) administered intramuscularly in adults.","Influenza Vaccine (Split Virion, Inactivated)",104438,NCT00197223,Influenza,Phase 3,http://www.gsk-clinicalstudyregister.com/study/104438,http://clinicaltrials.gov/show/NCT00197223,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
GSK,Phase III Vaccination Study for Evaluation of Immunogenicity and Reactogenicity of Influsplit SSW 2004/2005 in People age 18 or beyond,"Influenza Vaccine (Split Virion, Inactivated)",104745,NCT00306943,Influenza,Phase 3,http://www.gsk-clinicalstudyregister.com/study/104745,http://clinicaltrials.gov/show/NCT00306943,,Y,N,Y,Y,Y,Y,N,An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study.,1-Mar-2015
GSK,"A phase III, single-blind, randomized study to evaluate the immunogenicity and safety of Fluarix® (GSK Biologicals) compared with Fluzone® (Aventis Pasteur/Sanofi) administered intramuscularly in children (6 months and older)","Influenza Vaccine (Split Virion, Inactivated)",104858,NCT00383123,Influenza,Phase 3,http://www.gsk-clinicalstudyregister.com/study/104858,http://clinicaltrials.gov/show/NCT00383123,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
GSK,A Phase III study for evaluation of immunogenicity and reactogenicity of Fluarix™ (Influsplit SSW®) 2006/2007 in people aged 18 years or above,"Influenza Vaccine (Split Virion, Inactivated)",107507,NCT00345904,Influenza,Phase 3,http://www.gsk-clinicalstudyregister.com/study/107507,http://clinicaltrials.gov/show/NCT00345904,,Y,N,Y,Y,Y,Y,N,An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study.,1-Mar-2015
GSK,"A Randomized, Double-Blind Trial Evaluating the Safety and Immunogenicity of an Influenza Vaccine with reduced Preservative (FluLaval™ TR) and a Standard Influenza Vaccine (Fluarix®) in subjects between 18-60 and Over 60 Years of Age.","Influenza Vaccine (Split Virion, Inactivated, Fluviral)",109249,NCT00380211,Influenza,Phase 3,http://www.gsk-clinicalstudyregister.com/study/IDB-200-001,http://clinicaltrials.gov/show/NCT00380211,,Y,N,Y,Y,Y,Y,N,An annotated case report form is not available for this study. A blank case report form will be provided. A reporting and analysis plan is not available for this study.,1-Mar-2014
GSK,Evaluate Non-Inferiority and Persistence of the Immune Response of GSK Biologicals' Meningococcal Vaccine 134612 Versus Meningitec™ or Mencevax™ ACWY in Healthy Subjects (1-10 Years of Age),"Meningococcal Serogroups A, C, W-135 and Y-Tetanus Toxoid Conjugate Vaccine",108668,NCT00427908,"Infections, Meningococcal",Phase 2,http://www.gsk-clinicalstudyregister.com/study/108658,http://clinicaltrials.gov/show/NCT00427908,,Y,Y,Y,Y,Y,Y,Y,"The results of this study 108668 (Y5) are summarised with studies 108658, 108660 (Y1), 108661 (Y2), 108663 (Y3), and 108665 (Y4) on the GSK Clinical Study Register.",1-Mar-2014
GSK,Non-inferiority of co-administration of GSK Biologicals’pneumococcal conjugate vaccine GSK1024850A with DTPa-IPV-Hib versus co-administration with DTPa-HBV-IPV/Hib.,Pneumococcal Polysaccharide Conjugate Vaccine (Adsorbed),111053,NCT00652951,"Infections, Streptococcal",Phase 3,http://www.gsk-clinicalstudyregister.com/study/110142,http://clinicaltrials.gov/show/NCT00652951,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
GSK,"Efficacy, immunogenicity and safety of two doses of GlaxoSmithKline (GSK) Biologicals' Oral Live Attenuated Liquid Human Rotavirus (HRV) Vaccine (444563), in healthy infants",Rotavirus Vaccine,113808,NCT01171963,"Infections, Rotavirus",Phase 3,http://www.gsk-clinicalstudyregister.com/study/113808,http://clinicaltrials.gov/show/NCT01171963,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
GSK,"A Four-Week, Randomized, Double-Blind, Placebo-Controlled, Parallel-group, Multi-Center Study of VENTOLIN™ (albuterol) HFA MDI delivered with facemask and two different holding chambers in Subjects aged 24 to <48 months with asthma symptoms (i.e. wheeze, cough, dyspnea or chest tightness) or consistent with asthma or obstructive airway disease or bronchospasm.",salbutamol,SB020001,,Asthma,Phase 2,http://www.gsk-clinicalstudyregister.com/study/SB020001,,,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2014
GSK,"A Four-Week, Randomized, Double-Blind, Placebo-Controlled, Parallel-group, Multi-Center Study of VENTOLIN™ HFA MDI delivered TID with facemask and valved holding chamber Aerochamber Plus in subjects birth to <24 months in age with symptoms of bronchospasm (i.e. wheeze, cough, dyspnea or chest tightness) consistent with obstructive airways disease.",salbutamol,SB030001,,Asthma,Phase 3,http://www.gsk-clinicalstudyregister.com/study/SB030001,,,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2014
GSK,"A Randomized, Double-Blind, Parallel-group, Multi-Center Study of Albuterol Sulfate HFA Inhalation Aerosol Delivered Cumulatively with a valved holding chamber and an attached facemask in subjects between birth to 23 months of age with acute wheezing due to obstructive airways disease",salbutamol,SB030002,NCT00144846,Asthma,Phase 3,http://www.gsk-clinicalstudyregister.com/study/SB030002,http://clinicaltrials.gov/show/NCT00144846,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
GSK,"An Open-Label, Multi-Center Study to Evaluate the Performance and Patient Satisfaction of Albuterol HFA with Counter in Asthma or COPD Subjects at Least 4 Years of Age.",salbutamol,SB030003,,Asthma,Phase 3,http://www.gsk-clinicalstudyregister.com/study/SB030003,,,Y,Y,Y,Y,Y,Y,Y,A link to Clinicaltrials.gov and a NCT ID number are not available for this study because the study was conducted before regulatory requirements to register studies.,1-Mar-2014
GSK,"Phase I study of GSK573719 -A randomized, double blind, placebo controlled, dose ascending, single and repeat dose study to investigate the safety, tolerability, and pharmacokinetics of inhaled dose of GSK573719 from a novel dry powder device in healthy Japanese male subjects",umeclidinium bromide,AC4113377,NCT01013974,"Pulmonary Disease, Chronic Obstructive",Phase 1,http://www.gsk-clinicalstudyregister.com/study/113377,http://clinicaltrials.gov/show/NCT01013974,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
GSK,"Randomized, double-blind, 5 period cross over study assessing lung function in healthy volunteers following single inhalations of GSK573719 Inhalation Powder from two configurations of the Novel Dry Powder Inhaler",umeclidinium bromide,AC4115487,NCT01521390,"Pulmonary Disease, Chronic Obstructive",Phase 1,http://www.gsk-clinicalstudyregister.com/study/115487,http://clinicaltrials.gov/show/NCT01521390,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2015
GSK,"Safety, tolerability, pharmacokinetics and pharmacodynamics of the combination of GSK573719 and GW642444 in subjects with COPD",umeclidinium bromide/vilanterol,DB2113120,NCT01039675,"Pulmonary Disease, Chronic Obstructive",Phase 2,http://www.gsk-clinicalstudyregister.com/study/113120,http://clinicaltrials.gov/show/NCT01039675,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
GSK,"A single centre, randomised, placebo-controlled, four-way cross over study to assess the safety, tolerability, pharmacodynamics and pharmacokinetics of single inhaled doses of GSK573719 and GW642444 as monotherapies and concurrently in healthy Japanese subjects",umeclidinium bromide/vilanterol,DB2113208,NCT00976144,"Pulmonary Disease, Chronic Obstructive",Phase 1,http://www.gsk-clinicalstudyregister.com/study/113208,http://clinicaltrials.gov/show/NCT00976144,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
GSK,"A 24-Week, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of GSK573719/GW642444 Inhalation Powder and the Individual Components Delivered Once-Daily via a Novel Dry Powder Inhaler in Subjects with Chronic Obstructive Pulmonary Disease",umeclidinium bromide/vilanterol,DB2113361,NCT01313637,"Pulmonary Disease, Chronic Obstructive",Phase 3,http://www.gsk-clinicalstudyregister.com/study/113361,http://clinicaltrials.gov/show/NCT01313637,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
GSK,"A 24-Week, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of GSK573719/GW642444 Inhalation Powder and the Individual Components Delivered Once-Daily via a Novel Dry Powder Inhaler in Subjects with Chronic Obstructive Pulmonary Disease",umeclidinium bromide/vilanterol,DB2113373,NCT01313650,"Pulmonary Disease, Chronic Obstructive",Phase 3,http://www.gsk-clinicalstudyregister.com/study/113373,http://clinicaltrials.gov/show/NCT01313650,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
GSK,"A Single-Centre, Randomised, Open-label Study to Evaluate the Effects of Steady-State Verapamil, a Moderate P-Glycoprotein and CYP3A4 Inhibitor, on the Pharmacokinetics of GSK573719 and GSK573719 in Combination with GW642444",umeclidinium bromide/vilanterol,DB2113950,NCT01128634,"Pulmonary Disease, Chronic Obstructive",Phase 1,http://www.gsk-clinicalstudyregister.com/study/113950,http://clinicaltrials.gov/show/NCT01128634,,Y,Y,Y,Y,Y,Y,Y,,1-Mar-2014
Boehringer Ingelheim,RE-DEEM Dose Finding Study for Dabigatran Etexilate in Patients With Acute Coronary Syndrome,dabigatran etexilate,1160.67,NCT00621855,Coronary Disease,Phase 2,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00621855?term=1160.67&rank=1,,Y,Y,Y,N,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,"Randomized, Open Label Study of Dabigatran Etexilate in Elective Percutaneous Coronary Intervention",dabigatran etexilate,1160.73,NCT00818753,Heart Catheterization,Phase 2,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00818753?term=1160.73&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,"PETRO Stroke Prevention in Patients With AF by Treatment With Dabigatran, With and Without Aspirin, Compared to Warfarin",dabigatran etexilate,1160.2,NCT01227629,Atrial Fibrillation,Phase 2,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT01227629?term=1160.20&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,A Dose Response Study of Dabigatran Etexilate(BIBR 1048) in Pharmacodynamics and Safety in Patients With Non-valvular Atrial Fibrillation in Comparison to Warfarin,dabigatran etexilate,1160.49,NCT01136408,Atrial Fibrillation,Phase 2,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT01136408?term=1160.49&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Efficacy vs Placebo as Initial Combination Therapy With Pioglitazone,linagliptin,1218.15,NCT00641043,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00641043?term=1218.15&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Efficacy and Safety of BI 1356 (Linagliptin) Versus Placebo in Type 2 Diabetic Patients With Insufficient Glycemic Control,linagliptin,1218.16,NCT00621140,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00621140?term=1218.16&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Efficacy and Safety of B I1356 (Linagliptin) vs. Placebo Added to Metformin Background Therapy in Patients With Type 2 Diabetes,linagliptin,1218.17,NCT00601250,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00601250?term=1218.17&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,BI 1356 (Linagliptin) in Combination With Metformin and a Sulphonylurea in Type 2 Diabetes,linagliptin,1218.18,NCT00602472,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00602472?term=1218.18&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Efficacy and Safety of BI 1356 in Combination With Metformin in Patients With Type 2 Diabetes,linagliptin,1218.2,NCT00622284,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00622284?term=1218.20&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Japanese P III vs Voglibose and Placebo,linagliptin,1218.23,NCT00654381,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00654381?term=1218.23&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,"Randomized, Double-blind (db), Placebo-controlled 18 Week Study of Linagliptin (BI 1356) in Type 2 Diabetic Patients With Insufficient Glycaemic Control on a Sulfonylurea Drug",linagliptin,1218.35,NCT00819091,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00819091?term=1218.35&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Efficacy and Safety of Linagliptin in Combination With Insulin in Patients With Type 2 Diabetes,linagliptin,1218.36,NCT00954447,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00954447?term=1218.36&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,The Effect of Linagliptin (BI 1356) on 24h-glucose Control and Various Biomarkers in Type 2 Diabetic Patients,linagliptin,1218.37,NCT00716092,"Diabetes Mellitus, Type 2",Phase 2,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00716092?term=1218.37&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Safety and Efficacy of Linagliptin (BI 1356) as Monotherapy or in Combination in Type 2 DM,linagliptin,1218.4,NCT00736099,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00736099?term=1218.40&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,"Safety and Efficacy in Type 2 Diabetic Patients With Severe Chronic Renal Impairment, 5 mg BI 1356 (Linagliptin) vs. Placebo, Insulin Background Inclusive",linagliptin,1218.43,NCT00800683,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00800683?term=1218.43&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,"Safety and Efficacy of Linagliptin (BI 1356) Plus Metformin in Type 2 Diabetes, Factorial Design",linagliptin,1218.46,NCT00798161,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00798161?term=1218.46&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,"A Randomised, db, Placebo-controlled Study of BI 1356 for 18 Weeks Followed by a 34 Week Double-blind Extension Period (Placebo Patients Switched to Glimepiride) in Type 2 Diabetic Patients for Whom Treatment With Metformin is Inappropriate",linagliptin,1218.5,NCT00740051,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00740051?term=1218.50&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Treatment of Type 2 Diabetes With Linagliptin 2.5 mg Bid + Metformin 500 or 1000 mg Bid and Metformin 1000 mg Bid,linagliptin,1218.52,NCT00915772,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00915772?term=1218.52&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Efficacy and Safety of BI 1356 BS (Linagliptin) in Combination With Metformin in Patients With type2 Diabetes,linagliptin,1218.6,NCT00309608,"Diabetes Mellitus, Type 2",Phase 2,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00309608?term=1218.6&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Linagliptin 2.5 mg Twice Daily Versus 5 mg Once Daily as add-on Therapy to Twice Daily Metformin in Type 2 Diabetes,linagliptin,1218.62,NCT01012037,"Diabetes Mellitus, Type 2",Phase 2,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT01012037?term=1218.62&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Efficacy and Safety of Linagliptin in Elderly Patients With Type 2 Diabetes,linagliptin,1218.63,NCT01084005,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT01084005?term=1218.63&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Efficacy and Safety of Linagliptin (BI 1356) in Black/African Americans With Type 2 Diabetes With a MTT Sub-study,linagliptin,1218.75,NCT01194830,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT01194830?term=1218.75&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Comprehensive Add on Study in Japan,linagliptin,1218.78,NCT01204294,"Diabetes Mellitus, Type 2",Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT01204294?term=1218.78&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,"Efficacy, Safety, Tolerability of Pramipexole ER Versus Pramipexol IR Versus Placebo in Early PD Patients",pramipexole,248.524,NCT00479401,Parkinson Disease,Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00479401?term=248.524&rank=2,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Pramipexole Versus Placebo in Parkinson's Disease (PD) Patients With Depressive Symptoms,pramipexole,248.596,NCT00297778,"Parkinson Disease, Depression",Phase 4,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00297778?term=248.596&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,"A Randomized, Double-blind, Active (Pramipexole 0.5 mg Tid) and Placebo Controlled, Study of Pramipexole Given 0.5 mg and 0.75 mg Bid Over 12-week Treatment in Early Parkinson's Disease (PD) Patients",pramipexole,248.622,NCT00402233,Parkinson Disease,Phase 4,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00402233?term=248.622&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Nov-2014
Boehringer Ingelheim,"Long-term Efficacy, Safety and Tolerability of Pramipexole in Patients With Idiopathic Moderate to Severe Restless Legs Syndrome (RLS)",pramipexole,248.629,NCT00472199,Restless Legs Syndrome,Phase 4,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00472199?term=248.629&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Long-term Safety Study of Open-label Pramipexole Extended Release (ER) in Patients With Early Parkinson's Disease (PD),pramipexole,248.633,NCT00601523,Parkinson Disease,Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00601523?term=248.633&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
Boehringer Ingelheim,Long-term Safety Study of Open-label Pramipexole ER in Patients With Advanced PD,pramipexole,248.634,NCT00577460,Parkinson Disease,Phase 3,http://trials.boehringer-ingelheim.com/trial_results/clinical_trials_overview.html,http://clinicaltrials.gov/ct2/show/NCT00577460?term=248.634&rank=1,,Y,Y,Y,Y,Y,Y,Y,,1-Apr-2014
